model,ith run, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,slack,distance_look_ahead
NS,4,0,3,11,0.25,0.05,500299,371303,128996,9685,9905,9882,11790,38,12,false,3,7
NS,0,1,6,8,0.25,0.05,1022283,777630,244653,20044,20163,20735,20517,38,12,false,3,7
NS,1,1,6,8,0.25,0.05,999490,750914,248576,19255,20372,20183,21239,38,12,false,3,7
NS,2,1,6,8,0.25,0.05,1022764,777609,245155,20023,20277,20685,20511,38,12,false,3,7
NS,3,1,6,8,0.25,0.05,1001063,751650,249413,19186,20367,20114,21346,38,12,false,3,7
NS,4,1,6,8,0.25,0.05,1022144,777765,244379,20097,20214,20762,20475,38,12,false,3,7
NS,0,0,6,8,0.25,0.05,1026731,779912,246819,20352,20369,20729,21180,38,12,false,3,7
NS,1,0,6,8,0.25,0.05,1025782,779342,246440,20359,20366,20742,21197,38,12,false,3,7
NS,2,0,6,8,0.25,0.05,1024325,778715,245610,20349,20390,20704,20749,38,12,false,3,7
NS,3,0,6,8,0.25,0.05,1028008,780320,247688,20397,20429,20692,22321,38,12,false,3,7
NS,4,0,6,8,0.25,0.05,1026497,780194,246303,20402,20451,20698,20687,38,12,false,3,7
NS,0,1,6,11,0.25,0.05,1005039,755541,249498,19416,20157,20247,21450,38,12,false,3,7
NS,1,1,6,11,0.25,0.05,1001605,753318,248287,19323,20464,20226,21043,38,12,false,3,7
NS,2,1,6,11,0.25,0.05,1005059,754537,250522,19314,20287,20232,21211,38,12,false,3,7
NS,3,1,6,11,0.25,0.05,1027269,780111,247158,20264,20386,20690,21050,38,12,false,3,7
NS,4,1,6,11,0.25,0.05,1007370,757348,250022,19388,20466,20308,21344,38,12,false,3,7
NS,0,0,6,11,0.25,0.05,1027219,780514,246705,20410,20427,20699,20939,38,12,false,3,7
NS,1,0,6,11,0.25,0.05,1028814,780473,248341,20446,20471,20704,21307,38,12,false,3,7
NS,2,0,6,11,0.25,0.05,1025731,779697,246034,20394,20404,20707,20713,38,12,false,3,7
NS,3,0,6,11,0.25,0.05,1033583,780426,253157,20410,20426,20740,27325,38,12,false,3,7
NS,4,0,6,11,0.25,0.05,1029791,781738,248053,20481,20523,20694,20896,38,12,false,3,7
NS,0,1,9,11,0.25,0.05,1564232,1188873,375359,30763,31071,31510,31365,38,12,false,3,7
NS,1,1,9,11,0.25,0.05,1562632,1186747,375885,30660,31102,31411,31403,38,12,false,3,7
NS,2,1,9,11,0.25,0.05,1480828,1119165,361663,28421,29645,29986,30684,38,12,false,3,7
NS,3,1,9,11,0.25,0.05,1560229,1185129,375100,30586,31128,31521,31335,38,12,false,3,7
NS,4,1,9,11,0.25,0.05,1563485,1188272,375213,30803,30910,31405,31498,38,12,false,3,7
NS,0,0,9,11,0.25,0.05,1572658,1195097,377561,31424,31425,31500,31502,38,12,false,3,7
NS,1,0,9,11,0.25,0.05,1572895,1195332,377563,31398,31414,31527,31511,38,12,false,3,7
NS,2,0,9,11,0.25,0.05,1572606,1195235,377371,31395,31406,31543,31507,38,12,false,3,7
NS,3,0,9,11,0.25,0.05,1572621,1195132,377489,31418,31429,31506,31505,38,12,false,3,7
NS,4,0,9,11,0.25,0.05,1571768,1194566,377202,31391,31408,31515,31479,38,12,false,3,7
NS,0,1,3,4,0.5,0.05,492869,243381,249488,9593,9630,9885,10563,25,25,false,3,7
NS,1,1,3,4,0.5,0.05,491808,242656,249152,9539,9682,9935,10537,25,25,false,3,7
NS,2,1,3,4,0.5,0.05,493353,242507,250846,9579,9662,9891,10567,25,25,false,3,7
NS,3,1,3,4,0.5,0.05,496223,240639,255584,9415,9602,9809,10595,25,25,false,3,7
NS,4,1,3,4,0.5,0.05,494639,240632,254007,9359,9531,9847,10616,25,25,false,3,7
NS,0,0,3,4,0.5,0.05,490267,242520,247747,9582,9631,9916,10499,25,25,false,3,7
NS,1,0,3,4,0.5,0.05,490044,242844,247200,9575,9647,9901,10458,25,25,false,3,7
NS,2,0,3,4,0.5,0.05,492711,242918,249793,9544,9654,9893,10677,25,25,false,3,7
NS,3,0,3,4,0.5,0.05,492887,242928,249959,9565,9617,9901,10544,25,25,false,3,7
NS,4,0,3,4,0.5,0.05,489289,242571,246718,9616,9628,9963,10458,25,25,false,3,7
NS,0,1,3,8,0.5,0.05,521558,242409,279149,9551,9985,9848,12406,25,25,false,3,7
NS,1,1,3,8,0.5,0.05,533854,244028,289826,9637,9983,9907,14565,25,25,false,3,7
NS,2,1,3,8,0.5,0.05,533333,243853,289480,9508,9724,9940,13951,25,25,false,3,7
NS,3,1,3,8,0.5,0.05,547369,245108,302261,9611,9822,9905,14724,25,25,false,3,7
NS,4,1,3,8,0.5,0.05,536092,244776,291316,9533,9886,9922,13796,25,25,false,3,7
NS,0,0,3,8,0.5,0.05,542745,244563,298182,9721,9842,9937,14686,25,25,false,3,7
NS,1,0,3,8,0.5,0.05,541504,244736,296768,9706,9804,9945,13786,25,25,false,3,7
NS,2,0,3,8,0.5,0.05,536997,245150,291847,9737,9810,9933,14851,25,25,false,3,7
NS,3,0,3,8,0.5,0.05,538089,244656,293433,9684,9759,9930,13283,25,25,false,3,7
NS,4,0,3,8,0.5,0.05,533968,244776,289192,9718,9759,9897,12978,25,25,false,3,7
NS,0,1,3,11,0.5,0.05,518909,242445,276464,9511,9870,9792,12610,25,25,false,3,7
NS,1,1,3,11,0.5,0.05,533545,242024,291521,9455,9839,9811,13700,25,25,false,3,7
NS,2,1,3,11,0.5,0.05,525900,241803,284097,9521,10427,9816,12381,25,25,false,3,7
NS,3,1,3,11,0.5,0.05,521183,242435,278748,9553,10235,9848,12422,25,25,false,3,7
